#demande_ville_gamme
360, 390, 60
320, 370, 75
160, 180, 10
90, 110, 10
190, 210, 15
120, 150, 20
70, 90, 5
140, 170, 15
230, 250, 25
50, 50, 5
230, 270, 55
310, 320, 125
170, 200, 55
80, 80, 15
150, 170, 30
50, 60, 5
120, 150, 10
280, 310, 90
70, 80, 20
50, 70, 10
80, 90, 15
#distance_ville_usine
809, 684, 256
583, 472, 35
776, 502, 234
702, 613, 143
1066, 489, 527
440, 770, 325
385, 136, 477
458, 425, 151
326, 634, 367
647, 199, 435
601, 463, 48
651, 314, 791
12, 528, 576
617, 182, 298
408, 289, 830
164, 266, 486
822, 503, 456
245, 528, 727
568, 697, 211
195, 435, 345
220, 721, 784
#capacite_max_production_usine
9000
14000
12500
#temps_production_usine_gamme
3.9, 4.2, 4.8
4.3, 4.4, 5.3
4.7, 4.8, 4.8
